publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2019p511955,earthquake,2019-07-09T10:09:55.774Z,2019-07-09T10:12:32.255Z,174.5405273,-41.07041931,2.163025859,26.57987404,M,,LOCSAT,confirmed,manual,iasp91,29,19,6,0.243657619,67.57327271,0.579349279,0
2019p511747,earthquake,2019-07-09T08:19:01.566Z,2019-07-09T08:21:01.175Z,174.1335602,-41.68895721,1.648128447,11.39136219,M,,LOCSAT,confirmed,manual,iasp91,17,10,6,0.08492168,76.17483521,0.470032587,0
2019p511700,earthquake,2019-07-09T07:54:07.526Z,2019-07-09T07:57:49.045Z,174.237854,-41.63119507,2.292910404,8.703303337,M,,LOCSAT,confirmed,manual,iasp91,24,14,6,0.119094975,102.9933777,0.447883409,0
2019p510676,earthquake,2019-07-08T22:48:11.870Z,2019-07-08T22:52:00.920Z,175.1202698,-40.02722168,2.125123681,20.62133217,M,,LOCSAT,confirmed,manual,iasp91,22,18,6,0.291312754,80.86157227,0.463543732,0
2019p510378,earthquake,2019-07-08T20:09:51.491Z,2019-08-06T01:17:49.744Z,174.70224,-41.08124161,2.852429972,44.49290848,M,,LOCSAT,confirmed,manual,iasp91,28,18,13,0.104212672,100.5584984,0.634650775,0
2019p510057,earthquake,2019-07-08T17:18:37.827Z,2019-07-08T17:25:36.828Z,175.8578949,-40.59547806,2.056417991,22.77014923,M,,LOCSAT,confirmed,manual,iasp91,23,14,13,0.095302388,88.44274902,0.415778835,0
2019p510002,earthquake,2019-07-08T16:49:32.412Z,2019-07-08T16:58:05.872Z,176.2163696,-40.7523613,1.45731698,20.62227631,M,,LOCSAT,confirmed,manual,iasp91,15,10,4,0.076108515,220.493679,0.254510374,0
2019p509961,earthquake,2019-07-08T16:27:33.014Z,2019-07-08T16:34:51.342Z,173.2143707,-41.57885742,1.715141448,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,15,12,3,0.295479506,67.53851318,0.430302346,0
2019p509740,earthquake,2019-07-08T14:29:16.030Z,2019-07-08T15:06:48.901Z,175.870636,-40.58610535,1.212912165,26.84747124,M,,LOCSAT,confirmed,manual,iasp91,19,11,6,0.082644522,86.59590149,0.555272861,0
2019p509739,earthquake,2019-07-08T14:28:58.155Z,2019-07-08T15:01:31.623Z,174.555191,-41.63421249,1.97350363,12,ML,operator assigned,LOCSAT,confirmed,manual,iasp91,17,12,4,0.384757459,222.5003738,0.386079546,0.341505264
2019p508736,earthquake,2019-07-08T05:34:53.066Z,2019-07-08T05:38:44.506Z,174.7188721,-40.86151123,1.814943847,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,21,16,4,0.144759819,134.7842064,0.459635269,0
2019p508586,earthquake,2019-07-08T04:15:05.112Z,2019-07-08T04:19:26.929Z,174.1274872,-41.71246719,1.138471527,10.43004322,M,,LOCSAT,confirmed,manual,iasp91,19,14,3,0.055433143,62.32940674,0.41828754,0
2019p508563,earthquake,2019-07-08T04:03:31.272Z,2019-07-08T04:11:41.513Z,174.8449097,-41.02980042,2.217600927,41.42245483,M,,LOCSAT,confirmed,manual,iasp91,50,30,11,0.098624803,88.50694656,0.48951387,0
2019p508454,earthquake,2019-07-08T03:04:25.590Z,2019-07-08T03:06:04.603Z,176.3384857,-40.31132126,2.332312875,21.9957962,M,,LOCSAT,confirmed,manual,iasp91,20,12,6,0.132029384,66.00968933,0.258133226,0
2019p507884,earthquake,2019-07-07T22:00:51.177Z,2019-07-07T22:02:19.526Z,174.6544647,-41.01921463,2.074886228,40.10017395,M,,LOCSAT,confirmed,manual,iasp91,16,10,5,0.249835372,119.6734734,0.345189846,0
2019p507322,earthquake,2019-07-07T17:01:39.083Z,2019-07-07T17:17:41.616Z,174.2523651,-41.77487946,1.325980593,10.7464819,M,,LOCSAT,confirmed,manual,iasp91,19,14,2,0.038722046,144.3872757,0.478703113,0
2019p506636,earthquake,2019-07-07T10:55:48.872Z,2019-07-07T11:05:20.532Z,173.9970398,-41.80200195,2.015761631,10.3318367,M,,LOCSAT,confirmed,manual,iasp91,18,13,5,0.108695358,80.7905426,0.270194656,0
2019p506603,earthquake,2019-07-07T10:38:30.378Z,2019-07-07T10:47:50.429Z,174.6468811,-41.60020828,2.196715444,17.8517971,M,,LOCSAT,confirmed,manual,iasp91,21,14,3,0.328794122,172.2144012,0.305461797,0
2019p506512,earthquake,2019-07-07T09:49:41.021Z,2019-07-07T09:52:23.357Z,176.6676636,-40.64026642,2.857540772,23.06469536,M,,LOCSAT,confirmed,manual,iasp91,19,12,6,0.232508719,218.8043156,0.5718315,0
2019p506333,earthquake,2019-07-07T08:14:38.594Z,2019-07-07T08:24:14.649Z,174.9015656,-41.00825882,1.835349691,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,20,18,7,0.132130116,103.1886358,0.395518583,0
2019p505688,earthquake,2019-07-07T02:30:59.581Z,2019-07-07T02:34:18.526Z,175.8585968,-41.09250259,3.25543283,25.13903427,M,,LOCSAT,confirmed,manual,iasp91,22,14,8,0.027904047,82.48852539,0.389059775,0
2019p505369,earthquake,2019-07-06T23:40:57.518Z,2019-07-06T23:44:27.482Z,174.3208771,-41.95433807,2.103053671,24.87418938,M,,LOCSAT,confirmed,manual,iasp91,20,12,5,0.186134711,197.5701141,0.508421717,0
2019p505278,earthquake,2019-07-06T22:52:25.799Z,2019-07-06T22:55:35.026Z,174.9225616,-40.07440567,1.879847874,49.18183899,M,,LOCSAT,confirmed,manual,iasp91,18,12,6,0.323024988,137.0363922,0.349734166,0
2019p505005,earthquake,2019-07-06T20:26:44.925Z,2019-07-06T20:30:00.061Z,176.2957764,-40.69560623,1.992268421,29.67292786,M,,LOCSAT,confirmed,manual,iasp91,21,12,7,0.04090016,165.1757507,0.540057082,0
2019p504453,earthquake,2019-07-06T15:33:04.487Z,2019-07-06T15:36:54.369Z,176.0986481,-40.30984497,1.856393378,39.6776123,M,,LOCSAT,confirmed,manual,iasp91,19,10,6,0.177245706,76.46038818,0.370536684,0
2019p504306,earthquake,2019-07-06T14:14:38.484Z,2019-07-06T15:22:48.394Z,173.5923615,-41.47173309,1.607822425,35.33461761,M,,LOCSAT,confirmed,manual,iasp91,21,12,5,0.237281352,57.95776367,0.453764057,0
2019p504297,earthquake,2019-07-06T14:10:18.590Z,2019-07-06T14:18:04.482Z,175.1445923,-40.02402115,2.021966036,11.69509125,M,,LOCSAT,confirmed,manual,iasp91,25,18,6,0.223587498,105.6427307,0.643609738,0
2019p504037,earthquake,2019-07-06T11:51:17.347Z,2019-07-06T11:58:13.527Z,174.3724213,-41.56880951,1.550354699,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,20,14,5,0.215744764,164.5731239,0.295364845,0
2019p503621,earthquake,2019-07-06T08:09:22.238Z,2019-07-06T08:22:34.623Z,175.2302246,-41.23799133,2.019491097,19.60069084,M,,LOCSAT,confirmed,manual,iasp91,25,17,10,0.176540211,85.51177979,0.215768338,0
2019p503565,earthquake,2019-07-06T07:39:29.525Z,2019-07-06T07:56:18.581Z,173.2279358,-41.79068756,2.825342461,62.08641052,M,,LOCSAT,confirmed,manual,iasp91,27,20,13,0.243026897,45.5353775,0.284891383,0
2019p503519,earthquake,2019-07-06T07:15:05.391Z,2019-07-06T07:32:18.296Z,174.9775543,-41.37605286,2.049945658,20.13693428,M,,LOCSAT,confirmed,manual,iasp91,27,21,10,0.086301103,110.1603851,0.237851954,0
2019p503014,earthquake,2019-07-06T02:46:19.887Z,2019-07-06T03:05:07.177Z,173.2246399,-41.59240341,2.659996244,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,19,11,9,0.293489426,72.88178253,0.478767126,0
2019p502929,earthquake,2019-07-06T02:00:55.399Z,2019-07-06T02:02:49.676Z,176.4024506,-40.31364441,1.6267434,22.26927376,M,,LOCSAT,confirmed,manual,iasp91,14,10,4,0.156119674,83.99884033,0.239245602,0
2019p502923,earthquake,2019-07-06T01:57:24.864Z,2019-07-06T02:00:48.649Z,173.7527008,-42.01546478,2.093673032,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,16,12,6,0.180675656,130.7954178,0.275823462,0
2019p502063,earthquake,2019-07-05T18:19:39.223Z,2019-07-05T18:58:43.757Z,174.9558258,-41.41850662,1.74810973,12.19697952,M,,LOCSAT,confirmed,manual,iasp91,24,14,6,0.220866382,125.6380997,0.231916021,0
2019p501094,earthquake,2019-07-05T09:43:02.922Z,2019-07-05T09:49:12.421Z,176.2797394,-40.16931915,1.77780632,27.01140976,M,,LOCSAT,confirmed,manual,iasp91,16,10,7,0.155701324,66.99005127,0.2002992,0
2019p500782,earthquake,2019-07-05T06:56:49.523Z,2019-07-05T07:14:14.429Z,173.5435181,-41.26467896,2.023294751,56.75769043,ML,,LOCSAT,confirmed,manual,iasp91,18,11,6,0.13253133,92.42921448,0.381839355,0.456786048
